Patient_ID,ATP5F1B,CAPZB,CAT,CCDC124,CCT3,CCT7,CCT8,CDC73,CHD4,COPA,COPB1,COPG1,CORO1B,CPSF6,CS,DARS1,DDOST,DDX17,DHX9,DYNC1H1,EEF2,EFTUD2,EIF3A,EIF3F,EIF3I,EIF3L,ELAVL1,HBB,HDLBP,HNRNPK,HNRNPR,HNRNPUL2,HSPA9,IARS1,ILF2,ILF3,MAP4,MAT2B,MATR3,PABPC1,PCBP2,PPP1CC,PPP2R1A,PRKDC,PSMA2,PSMA3,PSMA6,PSMB3,PSMC2,PSMD11,PSMD12,PSMD2,PSMD3,PTBP1,RARS1,RBM39,RPL10,RPL12,RPL13,RPL14,RPL18,RPL24,RPL4,RPL6,RPL7,RPN1,RPN2,RPS12,RPS13,RPS19,RPS5,RPS7,RPSA,SARNP,SEC22B,SF3A1,SF3B1,SFPQ,SNX2,SRP14,STIP1,TCERG1,TUBA1B,TUBB4B,TUFM,UQCRFS1,USP14,XRCC5,XRCC6,YWHAE
,-4.334542444,-4.114215477,-2.987042846,-0.305331493,3.901613003,-3.558753146,-1.282136308,1.421449418,0.231648518,2.690433875,-3.52066015,4.234108683,-2.794011529,0.426539058,2.374452814,3.488095416,-3.081765432,4.980397733,-3.486417288,-3.36271602,-2.778535819,0.968909241,1.945264347,1.844879769,-2.589695052,1.416646409,0.837947708,-4.163257542,-0.997039234,-2.305766637,3.169317058,0.235679598,-2.986039214,-3.466434633,-3.117383306,-3.253180457,-3.277023438,-3.403891141,-1.26396894,2.06576296,-2.112868093,-1.92782131,-0.975430363,4.840977766,-3.914358591,1.611469015,-3.508951284,2.626093591,-4.364219832,4.949479207,-0.629955911,4.95481709,1.527403965,-1.483785182,0.25081451,-2.516813491,-3.203956905,1.866641096,-2.936360732,-2.121018986,-4.007599325,-2.720182394,-3.502338042,-2.958594793,3.107717722,-3.035066503,-0.943293587,-3.49101896,-3.559618036,-2.008699854,0.642129734,-0.41316322,-3.202687839,0.093321443,-2.33233492,-1.482243758,4.911905708,4.449219467,-3.63477951,-1.918203031,1.463364637,-1.199723969,-4.751123092,-4.755096633,-3.036850398,-2.882585108,-2.903111434,-1.068257424,0.814086851,-3.292577622
285397,0.445093146,0.568710659,-0.077069365,0.397344346,0.109985533,0.462996766,0.241657647,-0.222304801,-0.615263789,0.750530972,1.023298313,0.137021323,0.595378897,-0.10877968,0.50263009,0.191090097,0.772231527,-0.021969164,0.481336158,0.342022022,0.856057466,0.64096582,0.60429562,0.549399316,0.592735884,0.728532898,0.7620309,0.201811022,1.264939141,0.52261402,0.188217438,-0.397645315,0.868188146,0.935936749,0.460830057,0.595316735,0.21862891,0.088302885,0.626299716,0.735649016,0.846892861,0.999703197,1.230145463,0.02914697,0.403939385,0.445021536,0.658984209,0.532741811,0.028541451,0.103187713,0.48588622,-0.100835455,0.076687551,0.807659106,0.457460989,0.135140413,0.877466849,0.873110879,0.670739341,0.925101548,0.686891732,0.956245654,0.78856753,0.690438742,0.616617743,0.550402285,0.775798741,0.980754226,0.786089138,-0.005517181,0.989368087,0.69136675,0.520145365,-0.118560615,0.665117273,-0.382749064,0.02632333,0.150136703,0.146103821,0.903882406,0.752961967,-0.124404992,0.394689058,0.373724749,0.384808014,0.558342267,0.497681548,-0.301508609,0.41955461,0.912259249
285315,1.048718942,1.221222675,-0.205436427,0.634702456,0.91633155,1.22795929,1.462750505,0.88694354,1.858851308,1.276152524,1.316826401,0.808821815,1.539814139,0.546088641,1.414423132,0.963227467,1.312233753,0.494348606,1.596005658,1.681664107,1.524514329,1.573715317,1.566018637,1.466848293,1.705712174,1.603475451,1.592660887,-0.109196315,1.260310095,1.490727531,1.303636109,1.4865636,1.469136935,1.201598479,1.254995015,1.311308255,0.753490709,1.440801785,1.702109426,1.470597159,1.747438098,1.726677276,1.509647793,0.594036356,0.966973116,1.256788676,1.119317245,1.258549536,1.015156016,0.369216682,1.275977398,0.362400061,1.164124825,1.829952514,1.613025985,1.436330395,1.507779759,1.43374791,1.418854733,1.719000424,1.215142563,1.610291251,1.422380037,1.422215238,1.221867691,1.421348846,1.382354461,1.299435847,1.209677212,1.758164241,1.711863584,1.683712724,1.359353944,0.443063491,1.730073506,0.581458643,0.513880481,0.818922153,1.758808434,1.620543511,1.326333797,0.431874625,1.043813309,0.92547529,1.481247442,1.253656341,1.461430051,1.867936875,1.791309379,0.849197762
290884,-0.345861038,-0.100210728,1.160480104,0.06805094,-0.399016026,0.000114214,-0.313423296,-3.692478985,-0.450832486,-0.548909215,-0.190267675,-0.410531262,0.18306287,-0.684921045,-0.397118722,-0.511723761,-0.346312083,-0.534141011,-0.521263275,-0.329808194,-0.624110545,-1.326953232,-1.140034245,-0.602979716,-0.753351885,-0.194878918,-0.929981351,0.953052631,-0.392153013,-0.632444456,-0.994829297,-0.072008113,-0.680837603,-0.175262136,-0.976556963,-0.517497083,0.299095435,0.059712734,-0.671285251,-0.648919902,-0.301295114,-1.008799445,-0.101052392,-0.512084171,0.108672512,-0.035401099,0.19230512,-0.364187674,0.011499452,-0.414080474,-0.315719969,-0.202947627,-0.70293613,-0.470692978,-0.375168283,-0.415275636,-0.289099268,-0.556340144,-0.101423141,-0.351803671,-0.387964097,-0.242811274,-0.212248203,-0.25081579,-0.623580733,-0.376646561,-0.183280363,-0.324025219,-0.222574296,-0.087920311,-0.877815453,-0.564603532,-0.355205759,-0.155289279,-0.461476995,-0.325757083,-0.414291178,-0.593995173,0.217664029,-0.375369373,0.004309614,-3.642264255,-0.039889342,-0.260121032,-0.34525496,-0.10667601,0.277487447,-0.753704647,-0.543479274,-0.036403294
290339,-0.019407047,0.511191379,1.165420619,0.201555196,0.118438329,0.434794456,0.057804173,0.456983247,0.3824271,-0.071293084,0.054854614,0.056748427,-0.298264948,0.459549295,-0.061914605,-0.129158772,0.068972636,-0.111310121,0.170204723,0.234305841,0.349042272,0.183573704,-0.137266836,-0.030989262,0.001815826,-0.02421439,0.227776155,0.860495931,0.217449092,0.122041515,-0.428377338,0.354146843,0.158992396,0.173107825,-0.013579065,0.245018758,0.287351007,0.064313573,0.205237117,0.209464353,0.278636561,0.398861193,0.6405425,-0.077869088,0.150841343,0.061735965,0.135802219,0.043438465,0.117879803,0.044063076,0.016249862,-0.064264363,-0.010205816,0.319895365,0.131465082,0.199598753,0.486953361,0.212552574,0.431725493,0.319097958,0.343788405,0.5308945,0.3973849,0.071871664,0.221864002,0.07370741,-0.134345285,0.600768325,0.358532613,0.622190401,0.498427213,0.163661623,-0.032362318,0.368030302,0.163710235,0.42593206,-0.140506713,-0.072996894,0.356107555,0.137942157,0.140747397,0.483684908,0.141531055,0.038791268,-0.056918985,0.375962845,0.433024761,-0.095585245,-0.051302651,0.623748774
291429,0.840459972,1.280971327,0.786339231,0.980844765,0.822658501,1.360683817,1.55370875,1.193992037,1.472109631,1.037247062,0.948408276,0.602481265,0.946086214,1.190272657,1.184035841,0.935832196,1.155684911,0.382408126,1.064031991,1.374119195,1.184793055,1.351878738,1.346503972,1.226345488,1.546007606,1.354960584,1.485481727,0.803818134,1.846936533,1.279790948,0.872441695,1.538952501,1.03912507,1.157698356,1.107268718,1.200609575,1.153729021,1.423728373,1.490784448,1.285501144,1.205564797,1.250584673,1.460519656,0.357542403,0.686734667,1.02293071,0.919252491,1.020350388,0.933784012,0.350025267,1.289931502,0.366064132,1.183783708,1.520534203,1.229253012,1.068547746,1.29535864,1.213922874,1.316680046,1.325232707,1.178498947,1.430356605,1.237890401,1.370541747,1.156586656,1.141642901,1.117336541,1.211850776,1.300616232,1.61006012,1.474233291,1.540124887,1.062330653,1.109808585,1.428297023,1.722814852,0.415473224,0.662413995,0.810979205,1.30989766,1.391395743,1.242885099,0.799826523,0.802318578,1.314353303,1.299576031,1.275424408,1.157380187,0.950010325,1.303546196
281370,0.210101383,-0.271223862,-0.258454322,0.464002473,-0.275508006,-0.269015941,-0.204681233,0.254634109,-0.624879061,0.03506568,0.332928057,-0.021604497,0.401698758,-0.140468592,-0.335636336,-0.234632783,-0.0624814,-0.246271953,0.078193758,-0.038739228,-0.127630497,-0.382561279,-0.247007748,-0.241316165,0.116402376,-0.082248538,-0.352607839,-0.159958572,0.162722732,0.116817603,-0.311083855,-0.648521113,-0.294221367,-0.179457096,-0.037387001,-0.258931488,0.48637988,-0.024957657,-0.499733084,-0.128960263,-0.390133852,-0.62369404,-0.976275583,-0.298173745,0.097897771,-0.342943491,-0.145139961,-0.52172907,0.055363324,-0.304770743,0.01851183,-0.332911351,-0.038494656,-0.088889621,-0.235082883,-0.102517912,-0.273718116,-0.576635158,0.476310734,0.087233093,0.146360723,-0.303281348,0.048780084,0.199990854,-0.223859051,0.214976266,0.275865385,-0.343758999,0.138420433,0.128848171,-0.622359075,0.040432688,0.293181457,0.226401554,0.059083681,0.053122151,-0.158542916,-0.248994917,0.03089538,0.043585954,-0.439738179,0.248983018,-0.017901554,0.173828263,-0.036464981,-0.005099152,-0.662864839,-0.015568194,-0.289547034,-0.571666203
275052,-0.282998128,-0.742568911,-0.255055836,-0.89928843,-1.112606779,-0.911222083,-1.198012722,-0.987476222,-1.685375756,-1.377617528,-0.898012487,-1.363981573,-1.523932946,-0.92119888,-0.692610897,-1.161311645,-0.829895292,-0.73661453,-0.807628329,-1.078782262,-0.925546082,-1.523286922,-1.32857382,-1.518905636,-0.98600842,-1.746196211,-1.54779765,0.152734648,-1.996590589,-1.525130306,-1.270174766,-1.402243543,-1.020319987,-0.685693793,-0.94587071,-1.364783346,-1.1696442,-0.981183467,-1.49477237,-1.508291721,-1.11101599,-0.903398951,-1.269435249,-0.787632338,-1.204630366,-1.877793801,-1.191992069,-1.428924077,-0.802791878,-0.719702195,-1.28715504,-0.709195944,-1.516601717,-1.694418316,-1.295778088,-1.174065245,-1.219032787,-1.003507538,-1.366167356,-1.119737738,-0.942195755,-1.310122454,-1.193796591,-1.235461349,-1.488878228,-1.042400319,-1.435339563,-0.997128391,-0.971414491,-1.369286942,-1.504567703,-1.509458221,-0.866940888,-0.977532578,-1.445844943,-1.13691482,-0.711160806,-1.042939915,-1.414381177,-1.519674184,-1.586816743,-0.716667919,-0.552889679,-0.552787741,-0.958984372,-0.553545319,-1.256273953,-1.529603171,-1.694896243,-1.000907088
277302,1.246565481,0.346737092,0.538358459,-0.2803216,0.651287855,0.854218591,1.24425978,0.854742852,1.42867605,1.473218858,1.676397882,0.97554157,-0.033501548,1.100203572,1.320406025,1.575951851,2.129491164,0.389032383,1.323985982,1.365241452,1.714085657,1.356700458,1.367354984,1.524939093,1.623690417,1.679067334,1.073909579,0.417434531,1.645362546,0.84538555,1.128024047,1.441003067,1.333957005,1.721917302,1.551333296,1.112469354,0.101617679,0.827051936,0.963461174,1.282018274,1.366046574,1.071276329,0.797241653,0.641604251,0.56377156,0.226685959,0.628260654,0.262624365,1.036302462,0.335852591,1.624806672,0.594339795,1.596704065,0.518792402,1.713322514,1.3516741,1.31013393,1.722459449,0.482912236,1.657585416,1.005775529,0.224863327,0.647400706,1.040033353,0.872752571,2.069685639,2.59147138,1.329719426,0.863037712,-0.055763261,1.132248738,1.366946674,1.785166685,-0.283600789,0.455479593,1.20716373,0.517127375,0.433155076,-0.559391275,0.918363996,0.396001456,0.997551121,0.995809361,1.010625737,1.681426267,2.109823215,1.200882399,1.798491331,1.612639817,0.556645905
290023,0.01965063,0.601759239,-0.135032571,0.225487335,-0.23520646,-0.088353186,0.153040752,-0.534461343,-0.117058321,-0.106280819,0.088195313,-0.124982205,0.940649918,0.054621701,-0.175253821,-0.190814631,-0.259907652,-0.203437286,-0.156906751,0.162032232,0.327778537,-0.268825836,-0.180741352,-0.225685767,-0.133068931,0.004239114,-0.240735018,0.144397783,-0.611579868,0.179103931,-0.302876452,-0.096008696,0.04228826,-0.012563266,0.44012251,0.403854376,0.148610201,0.257455361,-0.334680035,-0.139875576,0.023797584,0.162851494,-0.141263998,-0.237669922,0.538147578,0.228949446,0.46111211,-0.103679643,-0.011299026,-0.166784171,-0.142623892,-0.214734923,-0.162902921,-0.05602041,-0.189132777,0.045462998,0.105392554,-0.346650874,-0.019891637,-0.137852986,0.059296291,-0.003531548,0.108172867,0.207341526,-0.24692338,-0.065941281,-0.255468487,0.249429611,0.188920119,-0.183292318,-0.307075674,0.048948598,0.047875292,0.256913653,0.514177407,-0.010611862,-0.219683307,-0.160736356,1.086965157,-0.370568733,0.125792091,0.123546304,0.292419148,0.201296383,0.07931762,-0.088095466,0.222139526,-0.249744568,-0.228968465,0.309838681
