source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections,
KEGG,Coronavirus disease - COVID-19,KEGG:05171,4.31E-06,5.3657382,207,35,5,61498,"J3KTE4,C9JC84,P02671,P63220,A0A0G2JL54",
KEGG,Focal adhesion,KEGG:04510,0.00010428,3.981799017,192,35,4,61498,"P11047,E9PC84,E7EN95,C9JNG9",
KEGG,Complement and coagulation cascades,KEGG:04610,0.000210522,3.676702324,83,35,3,61498,"C9JC84,P02671,A0A0G2JL54",
KEGG,ECM-receptor interaction,KEGG:04512,0.000210522,3.676702324,82,35,3,61498,"P11047,E9PC84,C9JNG9",
KEGG,PI3K-Akt signaling pathway,KEGG:04151,0.000500988,3.300172693,342,35,4,61498,"P11047,E9PC84,C9JNG9,B4DJF2",
KEGG,Proteoglycans in cancer,KEGG:05205,0.001797011,2.745449375,200,35,3,61498,"P26038,E7EN95,P51884",
KEGG,Viral carcinogenesis,KEGG:05203,0.001797011,2.745449375,194,35,3,61498,"A0A0A0MS51,P61978,B4DJF2",
KEGG,Human papillomavirus infection,KEGG:05165,0.00600075,2.221794496,315,35,3,61498,"P11047,E9PC84,C9JNG9",
KEGG,Staphylococcus aureus infection,KEGG:05150,0.007456447,2.127468079,84,35,2,61498,"C9JC84,A0A0G2JL54",
KEGG,Protein digestion and absorption,KEGG:04974,0.009382509,2.027681,99,35,2,61498,"D6RGG3,C9JNG9",
KEGG,Carbon metabolism,KEGG:01200,0.010969753,1.959803137,112,35,2,61498,"P04040,P60174",
KEGG,Platelet activation,KEGG:04611,0.011235649,1.949401852,120,35,2,61498,"C9JC84,P02671",
KEGG,Ribosome,KEGG:03010,0.011235649,1.949401852,127,35,2,61498,"J3KTE4,P63220",
KEGG,Vascular smooth muscle contraction,KEGG:04270,0.011235649,1.949401852,126,35,2,61498,"B7Z6Z4,P62736",
KEGG,Measles,KEGG:05162,0.011873966,1.925404182,135,35,2,61498,"P26038,D6R909",
KEGG,Tight junction,KEGG:04530,0.015387597,1.81282921,159,35,2,61498,"P26038,B7Z6Z4",
KEGG,Neutrophil extracellular trap formation,KEGG:04613,0.019306284,1.714301302,184,35,2,61498,"C9JC84,P02671",
KEGG,Chemical carcinogenesis - reactive oxygen species,KEGG:05208,0.021825218,1.661041416,206,35,2,61498,"P04040,K7EJP1",
KEGG,Regulation of actin cytoskeleton,KEGG:04810,0.021825218,1.661041416,207,35,2,61498,"A0A0A0MS51,P26038",
KEGG,Prion disease,KEGG:05020,0.02830091,1.548199601,243,35,2,61498,"P11047,K7EJP1",
KEGG,MicroRNAs in cancer,KEGG:05206,0.041927155,1.377504605,306,35,2,61498,"E9PC84,P61978",
KEGG,Amyotrophic lateral sclerosis,KEGG:05014,0.04357344,1.360778149,327,35,2,61498,"P04040,K7EJP1",
KEGG,Collecting duct acid secretion,KEGG:04966,0.04357344,1.360778149,26,35,1,61498,P02730,
KEGG,Glyoxylate and dicarboxylate metabolism,KEGG:00630,0.044732864,1.349373291,30,35,1,61498,P04040,
KEGG,Fructose and mannose metabolism,KEGG:00051,0.044732864,1.349373291,30,35,1,61498,P60174,
KEGG,Alzheimer disease,KEGG:05010,0.044732864,1.349373291,353,35,2,61498,"Q07954,K7EJP1",
KEGG,Tryptophan metabolism,KEGG:00380,0.059085572,1.228518559,42,35,1,61498,P04040,
KEGG,Pathways of neurodegeneration - multiple diseases,KEGG:05022,0.063312508,1.19851048,442,35,2,61498,"P04040,K7EJP1",
KEGG,Cholesterol metabolism,KEGG:04979,0.063393014,1.197958597,50,35,1,61498,Q07954,
KEGG,Malaria,KEGG:05144,0.063393014,1.197958597,49,35,1,61498,Q07954,
